time_s,participant_1,participant_2,participant_3
1113.778,-146.0,-42.23,-92.28
1113.786,-145.39,-44.36,-90.51
1113.793,-104.91,-43.35,-74.92
1113.801,-52.53,-40.31,-68.1
1113.809,-36.12,-40.56,-76.41
1113.816,-49.17,-41.68,-83.58
1113.824,-43.51,-41.39,-76.22
1113.832,-17.02,-43.82,-67.11
1113.84,-12.14,-48.81,-70.99
1113.847,-22.59,-45.98,-65.73
1113.855,-13.06,-30.04,-32.79
1113.863,12.39,-14.43,-12.69
1113.87,49.13,-14.85,-32.63
1113.878,103.73,-26.04,-42.01
1113.886,144.44,-33.35,-20.13
1113.893,139.06,-33.39,-28.23
1113.901,105.57,-27.25,-34.84
1113.909,79.0,-18.11,-39.1
1113.916,81.21,-18.44,-43.36
1113.924,106.74,-27.99,-47.62
1113.932,115.97,-26.5,-51.88
1113.94,81.51,-17.45,-56.14
1113.947,19.2,-23.02,-60.39
1113.955,-39.89,-34.88,-64.65
1113.963,-72.67,-45.28,-68.91
1113.97,-91.56,-43.92,-73.17
1113.978,-138.71,-23.61,-77.43
1113.986,-191.16,-17.12,-81.69
1113.993,-177.67,-12.26,-84.64
1114.001,-141.9,35.78,-66.96
1114.009,-178.92,207.28,-35.96
1114.016,-228.02,595.82,-31.1
1114.024,-203.34,1017.23,-17.94
1114.032,-179.64,951.91,72.84
1114.04,-189.32,292.79,323.26
1114.047,-127.89,-267.51,789.67
1114.055,-11.86,-238.55,1252.59
1114.063,32.45,-26.05,1152.96
1114.07,24.12,-53.44,307.56
1114.078,48.24,-130.36,-527.23
1114.086,74.61,-74.69,-585.47
1114.093,66.14,-31.54,-192.11
1114.101,68.78,-58.51,-58.11
1114.109,99.96,-65.03,-153.04
1114.116,111.94,-52.04,-123.29
1114.124,88.34,-61.04,-29.29
1114.132,67.88,-69.47,-39.45
1114.14,72.14,-51.37,-77.43
1114.147,84.28,-18.76,-59.57
1114.155,94.19,-1.85,-22.18
1114.163,101.93,-13.3,6.46
1114.17,92.85,-17.63,21.33
1114.178,64.34,18.09,14.78
1114.186,50.32,58.05,11.71
1114.193,71.37,61.47,41.13
1114.201,86.45,60.48,82.65
1114.209,49.87,90.86,106.0
1114.216,-0.06,125.72,126.55
1114.224,8.99,144.57,173.31
1114.232,56.61,169.65,232.59
1114.24,61.12,198.62,268.26
1114.247,20.74,203.29,281.04
1114.255,8.55,192.32,298.21
1114.263,46.33,189.26,318.02
1114.27,82.36,183.75,317.68
1114.278,78.59,158.23,293.4
1114.286,52.54,117.26,249.74
1114.293,40.45,71.06,187.18
1114.301,49.43,23.98,115.61
1114.309,36.94,-20.06,41.3
1114.316,29.84,-50.45,-42.78
1114.324,-12.33,-58.48,-124.54
1114.332,-3.65,-63.88,-168.26
1114.34,337.9,-94.36,-167.9
1114.347,851.72,-129.4,-168.03
1114.355,1448.52,-133.14,-197.87
1114.363,1545.32,-125.25,-219.85
1114.37,714.74,-132.88,-197.61
1114.378,-329.71,-129.82,-167.34
1114.386,-561.23,-103.23,-168.83
1114.393,-254.34,-89.08,-172.9
1114.401,-243.1,-96.2,-150.61
1114.409,-401.43,-98.4,-129.32
1114.416,-320.51,-92.23,-126.54
1114.424,-227.28,-80.64,-122.88
1114.432,-288.7,-58.89,-122.59
1114.44,-292.2,-47.38,-142.19
1114.447,-233.15,-62.29,-151.61
1114.455,-234.96,-82.3,-125.83
1114.463,-213.82,-93.47,-107.64
1114.47,-155.73,-100.98,-129.0
1114.478,-182.63,-95.82,-147.76
1114.486,-234.81,-74.87,-132.99
1114.493,-191.28,-65.16,-117.1
1114.501,-129.69,-57.96,-119.2
1114.509,-131.35,-51.94,-112.95
1114.516,-127.46,-62.88,-72.43
1114.524,-84.53,-42.28,-68.21
1114.532,-53.16,-40.79,-87.52
1114.54,-40.32,-54.74,-93.41
1114.547,-24.62,-58.11,-69.99
1114.555,-1.09,-47.65,-65.5
1114.563,45.64,-45.24,-71.04
1114.57,101.63,-49.74,-69.92
1114.578,126.41,-47.78,-60.95
1114.586,136.04,-45.36,-46.94
1114.593,146.94,-45.0,-14.66
1114.601,120.21,-39.53,23.68
1114.609,77.11,-34.69,25.76
1114.616,79.57,-34.87,-6.29
1114.624,83.29,-33.87,-21.8
1114.632,26.12,-32.86,-11.91
1114.64,-47.77,-31.63,-15.34
1114.647,-98.0,-23.16,-30.1
1114.655,-140.8,-13.97,-19.75
1114.663,-165.5,-14.51,3.91
1114.67,-163.26,-20.13,6.56
1114.678,-164.53,-23.46,11.07
1114.686,-173.21,-21.8,75.3
1114.693,-176.53,-16.93,298.62
1114.701,-186.49,-20.07,841.08
1114.709,-194.11,-33.16,1534.64
1114.716,-182.85,-37.47,1585.61
1114.724,-180.38,-24.94,561.94
1114.732,-196.01,-9.81,-563.04
1114.74,-191.74,-2.83,-662.89
1114.747,-162.92,-5.49,-166.09
1114.755,-137.71,-12.81,-46.75
1114.763,-120.18,-8.95,-198.59
1114.77,-111.21,7.9,-155.45
1114.778,-117.78,12.2,-75.75
1114.786,-121.73,-4.34,-125.63
1114.793,-104.27,-15.96,-121.67
1114.801,-75.26,-11.88,-49.77
1114.809,-52.71,-9.71,-49.08
1114.816,-49.12,-15.15,-71.39
1114.824,-85.65,-15.25,-43.38
1114.832,-101.67,-5.39,-20.92
1114.84,-79.56,7.42,-22.58
1114.847,-72.73,15.87,-3.69
1114.855,-71.4,13.8,32.01
1114.863,-71.05,1.71,65.83
1114.87,-83.86,-6.13,110.02
1114.878,-105.14,-0.19,155.08
1114.886,-108.28,4.09,177.77
1114.893,-84.0,-7.98,198.92
1114.901,-43.49,-18.79,238.23
1114.909,7.08,-8.38,260.42
1114.916,35.92,4.88,245.34
1114.924,7.27,9.14,228.51
1114.932,-31.84,101.28,220.41
1114.94,-22.98,439.05,189.0
1114.947,-5.93,919.44,132.39
1114.955,-24.72,1054.96,68.54
1114.963,-58.26,576.33,-6.33
1114.97,-88.74,-37.7,-79.06
1114.978,-92.51,-203.19,-122.14
1114.986,-53.19,-63.36,-155.15
1114.993,-47.5,-48.16,-204.05
1115.001,-106.77,-132.43,-237.92
1115.009,-61.01,-121.46,-234.19
1115.016,238.22,-83.65,-223.74
1115.024,736.74,-100.26,-219.34
1115.032,1271.72,-98.78,-198.73
1115.04,1469.52,-75.47,-168.02
1115.047,901.91,-67.6,-152.6
1115.055,-93.21,-102.27,-147.01
1115.063,-545.02,-100.31,-139.41
1115.07,-290.26,-44.43,-147.47
1115.078,-92.08,-17.14,-156.59
1115.086,-207.29,-33.11,-137.82
1115.093,-238.26,-31.71,-123.13
1115.101,-152.4,-9.79,-127.91
1115.109,-196.55,-4.55,-135.48
1115.116,-266.3,6.55,-136.66
1115.124,-194.12,49.88,-134.33
1115.132,-131.26,82.61,-124.07
1115.14,-185.01,85.09,-107.97
1115.147,-183.86,104.73,-99.58
1115.155,-64.23,146.86,-100.41
1115.163,-19.7,165.3,-99.36
1115.17,-97.23,165.63,-93.67
1115.178,-117.59,181.56,-90.77
1115.186,-62.89,193.57,-95.59
1115.193,-63.81,177.2,-102.8
1115.201,-90.25,159.27,-100.91
1115.209,-64.19,158.8,-90.44
1115.216,-34.55,149.29,-89.02
1115.224,-12.5,113.33,-104.54
1115.232,51.68,70.7,-117.34
1115.24,126.92,37.38,-104.24
1115.247,170.82,1.41,-70.82
1115.255,189.23,-44.55,-43.84
1115.263,180.54,-79.82,-28.98
1115.27,177.3,-93.03,-4.61
1115.278,230.13,-104.92,25.83
1115.286,301.17,-122.28,25.46
1115.293,318.97,-125.96,-8.52
1115.301,284.2,-119.47,-33.4
1115.309,241.24,-118.74,-31.57
1115.316,206.37,-114.08,-26.59
1115.324,143.63,-102.54,-30.21
1115.332,33.86,-101.16,-34.43
1115.34,-52.36,-105.12,-40.92
1115.347,-49.91,-103.32,-41.43
1115.355,-7.89,-106.54,-4.82
1115.363,1.19,-108.28,101.93
1115.37,-17.39,-88.39,401.59
1115.378,-33.94,-68.14,1042.31
1115.386,-35.42,-77.17,1658.71
1115.393,-36.9,-93.91,1397.2
1115.401,-38.39,-90.35,230.22
1115.409,-39.87,-82.91,-626.39
1115.416,-41.35,-89.72,-489.64
1115.424,-42.84,-96.96,-112.61
1115.432,-44.32,-95.76,-133.39
1115.44,-45.8,-95.06,-227.34
1115.447,-47.29,-91.21,-149.19
1115.455,-48.77,-78.22,-111.9
1115.463,-50.25,-71.28,-148.21
1115.47,-51.74,-76.94,-125.04
1115.478,-53.22,-77.17,-86.64
1115.486,-61.12,-66.34,-89.81
1115.493,-70.49,-58.73,-81.03
1115.501,-79.46,-60.24,-51.41
1115.509,-84.85,-66.24,-35.46
1115.516,-56.21,-68.18,-21.9
1115.524,-7.95,-55.47,4.56
1115.532,0.54,-35.18,30.63
1115.54,-23.64,-30.29,55.65
1115.547,-23.04,-41.63,93.37
1115.555,1.89,-46.51,135.13
1115.563,21.88,-37.74,165.49
1115.57,42.84,-29.77,192.15
1115.578,58.05,-31.07,208.91
1115.586,34.8,-33.73,190.02
1115.593,-3.7,-30.1,134.48
1115.601,10.58,-27.52,93.87
1115.609,66.21,-30.06,42.2
1115.616,83.52,-33.87,-3.37
1115.624,65.06,-34.01,-10.78
1115.632,71.42,-20.35,-129.95
1115.64,67.77,-7.93,-190.21
1115.647,-1.53,-13.16,-173.54
1115.655,-58.59,-24.85,-144.05
1115.663,-26.64,-26.97,-137.7
1115.67,7.6,-22.41,-131.35
1115.678,-38.91,-17.93,-120.48
1115.686,-82.78,-11.71,-110.17
1115.693,-44.83,-7.34,-96.48
1115.701,13.16,-14.49,-87.84
1115.709,47.92,-25.4,-92.35
1115.716,95.41,-21.56,-97.89
1115.724,114.12,-10.09,-89.53
1115.732,47.42,-11.13,-73.27
1115.74,-0.25,-14.54,-70.24
1115.747,56.3,-2.89,-84.49
1115.755,92.95,6.08,-94.32
1115.763,18.47,-4.07,-88.12
1115.77,-61.23,-13.62,-77.87
1115.778,-74.0,-10.89,-70.74
1115.786,-82.2,-11.81,-65.05
1115.793,-122.3,-18.56,-64.46
1115.801,-155.5,-20.13,-69.89
1115.809,-106.53,-20.86,-79.1
1115.816,117.97,-21.57,-90.71
1115.824,546.7,-9.08,-88.77
1115.832,1057.03,10.97,-61.61
1115.84,1323.98,40.92,-39.44
1115.847,984.15,189.35,-55.69
1115.855,181.96,587.15,-88.19
1115.863,-373.56,1031.04,-95.6
1115.87,-363.48,993.16,-79.4
1115.878,-240.42,375.32,-63.88
1115.886,-303.64,-175.44,-48.82
1115.893,-313.72,-201.58,-19.45
1115.901,-177.56,-43.41,15.24
1115.909,-103.64,-69.19,26.4
1115.916,-144.17,-129.8,8.71
1115.924,-191.81,-85.23,-8.55
1115.932,-210.96,-64.71,-5.32
1115.94,-208.42,-101.72,4.97
1115.947,-184.3,-100.03,8.32
1115.955,-153.92,-69.09,12.06
1115.963,-135.95,-61.92,18.88
1115.97,-148.11,-59.24,20.5
1115.978,-176.55,-45.81,38.19
1115.986,-158.8,-39.63,127.99
1115.993,-88.01,-34.64,348.45
1116.001,-50.42,-16.83,736.42
1116.009,-73.44,2.74,1140.61
1116.016,-74.37,16.5,1079.53
1116.024,-16.55,31.81,283.14
1116.032,35.7,47.86,-606.62
1116.04,47.05,62.73,-724.04
1116.047,43.54,85.1,-260.57
1116.055,40.03,112.99,-15.56
1116.063,47.25,134.56,-86.24
1116.07,68.64,155.44,-85.82
1116.078,84.76,182.39,-8.3
1116.086,91.37,197.08,-14.25
1116.093,100.59,190.55,-31.04
1116.101,115.54,182.88,-1.45
1116.109,116.97,178.13,8.09
1116.116,90.68,160.41,0.33
1116.124,59.21,131.79,14.93
1116.132,41.53,90.99,32.28
1116.14,16.63,25.75,41.57
1116.147,-23.91,-61.47,54.02
1116.155,-62.29,-75.73,59.32
1116.163,-107.89,-92.38,64.62
1116.17,-158.62,-98.34,69.92
1116.178,-165.41,-115.05,75.21
1116.186,-132.96,-121.59,87.6
1116.193,-123.71,-114.55,107.98
1116.201,-130.04,-101.87,139.07
1116.209,-112.23,-92.71,174.91
1116.216,-91.97,-86.13,206.64
1116.224,-77.38,-82.76,239.04
1116.232,-49.22,-83.64,271.2
1116.24,-47.58,-80.67,286.52
1116.247,-98.69,-69.24,276.97
1116.255,-139.93,-59.58,253.19
1116.263,-139.74,-60.36,221.14
1116.27,-127.98,-66.75,173.23
1116.278,-81.59,-72.38,107.77
1116.286,4.03,-76.59,35.6
1116.293,22.42,-79.17,-32.5
1116.301,-38.83,-79.81,-90.43
1116.309,-34.64,-78.46,-135.26
1116.316,29.22,-73.26,-168.84
1116.324,0.77,-65.32,-194.21
1116.332,-72.51,-60.68,-211.07
1116.34,-47.36,-60.96,-218.09
1116.347,11.05,-61.6,-214.52
1116.355,9.14,-61.5,-201.35
1116.363,7.4,-63.28,-185.31
1116.37,14.64,-65.77,-173.45
1116.378,-28.28,-65.13,-163.17
1116.386,-55.82,-60.35,-149.47
1116.393,-2.97,-53.77,-137.0
1116.401,36.24,-49.4,-130.72
